id,teacher_prompt,student_response,response_latency_seconds,attention_label
467,What are the properties of a parallelogram?,"It has parallel sides... I think four sides. Wait, is a rectangle a parallelogram? I always get confused between all the different quadrilateral names.",18.29,Distracted
468,What does photosynthesis mean?,"Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of glucose.",10.14,Focused
469,What does photosynthesis mean?,"Plants make their own food, right? I was wondering, do cacti also do photosynthesis? Because they are in the desert. And I saw a cactus once on a trip.",22.5,Distracted
470,What is osmosis?,Water through a membrane!,2.69,Impulsive
471,Can you name the layers of the Earth?,"Crust, mantle, core, inner core!",2.3,Impulsive
472,Can you explain what a metaphor is and give me an example?,A metaphor is like... a comparison? I think? We did this last week and I had it written down but I left my notebook at home today.,15.31,Distracted
473,What is the difference between conduction and convection?,Contact versus movement!,1.07,Impulsive
474,Can you describe what happens during mitosis?,"During mitosis, the cell duplicates its chromosomes and then divides into two identical daughter cells through phases called prophase, metaphase, anaphase, and telophase.",10.45,Focused
475,How do we find the greatest common factor of two numbers?,You find numbers that both go into... I think? I remember doing factor trees but then I get confused. Can we do an example? I like when we do examples.,15.07,Distracted
476,What does photosynthesis mean?,"Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of glucose.",5.81,Focused
477,Can you describe what happens during mitosis?,"The cell splits and makes copies... I think. Is mitosis the same as meiosis? I always mix those two up. Also, when does meiosis happen again?",19.31,Distracted
478,What do you know about the Civil Rights Movement?,"It was in America and there were marches and Martin Luther King, and I watched a video about it once. There was a bus thing too, I think.",24.21,Distracted
479,Can you explain what a prime number is?,"A prime number is a number greater than one that has no positive divisors other than one and itself, like 2, 3, 5, 7, and 11.",11.31,Focused
480,Can you summarise the water cycle in your own words?,"The water cycle involves evaporation of water from oceans, condensation into clouds, and precipitation back to Earth as rain or snow.",3.82,Focused
481,Can you summarise the water cycle in your own words?,"The water cycle involves evaporation of water from oceans, condensation into clouds, and precipitation back to Earth as rain or snow.",3.84,Focused
482,What does photosynthesis mean?,"Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of glucose.",9.7,Focused
483,What do you know about the Civil Rights Movement?,"The Civil Rights Movement was a struggle for racial equality in the United States, led by figures like Martin Luther King Jr., fighting against segregation and discrimination.",10.31,Focused
484,Can you name the layers of the Earth?,"There's the crust where we live, and then there's the core which is really hot. I was wondering, could you dig to the centre of the Earth theoretically?",9.02,Distracted
485,Can you name the layers of the Earth?,"There's the crust where we live, and then there's the core which is really hot. I was wondering, could you dig to the centre of the Earth theoretically?",17.55,Distracted
486,Can you explain what a prime number is?,"A prime number is a number greater than one that has no positive divisors other than one and itself, like 2, 3, 5, 7, and 11.",4.1,Focused
487,What do you know about the Civil Rights Movement?,"It was in America and there were marches and Martin Luther King, and I watched a video about it once. There was a bus thing too, I think.",22.85,Distracted
488,What is the role of the mitochondria in a cell?,Energy production!,1.56,Impulsive
489,How does democracy differ from monarchy?,People vote in democracy!,2.3,Impulsive
490,What is the difference between a simile and a metaphor?,Simile has 'like'!,2.0,Impulsive
491,What do you know about the Civil Rights Movement?,"The Civil Rights Movement was a struggle for racial equality in the United States, led by figures like Martin Luther King Jr., fighting against segregation and discrimination.",3.93,Focused
492,What are the properties of a parallelogram?,It has parallel sides!,1.03,Impulsive
493,Can you explain what a prime number is?,"A prime number is a number greater than one that has no positive divisors other than one and itself, like 2, 3, 5, 7, and 11.",7.34,Focused
494,Can you explain what a food chain is?,"A food chain shows how energy passes from one organism to another, starting with a producer like a plant and moving through herbivores and carnivores.",3.97,Focused
495,Can you explain what a food chain is?,"A food chain shows how energy passes from one organism to another, starting with a producer like a plant and moving through herbivores and carnivores.",8.01,Focused
496,What does photosynthesis mean?,"Photosynthesis is the process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of glucose.",9.86,Focused
497,What is the difference between weather and climate?,"Weather is short, climate is long!",1.07,Impulsive
498,Can you explain Newton's first law of motion?,Newton's first law states that an object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force.,10.61,Focused
499,What is the role of the mitochondria in a cell?,"The mitochondria is the powerhouse of the cell, responsible for producing ATP through cellular respiration to fuel all cell activities.",10.37,Focused
500,How does the human digestive system work?,Food goes in your mouth and gets broken down. I was thinking about how weird it is that we eat every day. What did people do before farms existed?,19.47,Distracted
